_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682,0.682
0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681
0.68,0.68,0.681,0.681,0.68,0.681,0.68,0.681,0.681
0.679,0.68,0.681,0.681,0.679,0.681,0.679,0.68,0.681
0.678,0.679,0.681,0.681,0.678,0.68,0.678,0.679,0.681
0.678,0.677,0.681,0.681,0.676,0.68,0.677,0.678,0.681
0.677,0.676,0.68,0.68,0.676,0.68,0.676,0.677,0.68
0.676,0.676,0.68,0.68,0.675,0.68,0.673,0.675,0.68
0.674,0.675,0.68,0.68,0.675,0.68,0.669,0.675,0.68
0.673,0.674,0.68,0.678,0.674,0.68,0.669,0.675,0.678
0.672,0.673,0.678,0.678,0.673,0.68,0.667,0.673,0.678
0.671,0.673,0.677,0.677,0.673,0.679,0.667,0.672,0.677
0.67,0.672,0.676,0.676,0.672,0.679,0.666,0.671,0.676
0.669,0.67,0.676,0.675,0.671,0.679,0.665,0.669,0.675
0.668,0.669,0.676,0.675,0.67,0.678,0.664,0.669,0.675
0.663,0.668,0.676,0.675,0.67,0.677,0.662,0.668,0.675
0.662,0.664,0.675,0.675,0.669,0.675,0.659,0.667,0.675
0.661,0.664,0.675,0.674,0.669,0.675,0.658,0.666,0.674
0.658,0.663,0.675,0.674,0.669,0.674,0.657,0.665,0.674
0.657,0.661,0.675,0.673,0.669,0.673,0.655,0.664,0.673
0.656,0.659,0.675,0.673,0.667,0.672,0.655,0.663,0.673
0.647,0.658,0.675,0.673,0.667,0.671,0.654,0.662,0.673
0.646,0.657,0.674,0.673,0.666,0.669,0.649,0.661,0.673
0.645,0.656,0.674,0.673,0.666,0.662,0.64,0.66,0.673
0.644,0.656,0.674,0.672,0.666,0.661,0.637,0.66,0.672
0.643,0.656,0.674,0.672,0.665,0.66,0.637,0.659,0.672
0.637,0.655,0.674,0.671,0.665,0.654,0.633,0.658,0.671
0.636,0.654,0.674,0.67,0.664,0.653,0.623,0.658,0.67
0.635,0.653,0.673,0.669,0.663,0.653,0.62,0.657,0.669
0.633,0.652,0.672,0.669,0.663,0.651,0.619,0.656,0.669
0.632,0.651,0.672,0.669,0.663,0.651,0.618,0.655,0.669
0.631,0.65,0.672,0.669,0.662,0.65,0.61,0.654,0.669
0.63,0.65,0.672,0.669,0.662,0.649,0.61,0.654,0.669
0.628,0.65,0.672,0.669,0.661,0.638,0.606,0.654,0.669
0.626,0.649,0.672,0.669,0.661,0.638,0.603,0.654,0.669
0.625,0.648,0.672,0.667,0.66,0.637,0.603,0.653,0.667
0.624,0.647,0.672,0.667,0.66,0.636,0.603,0.652,0.667
0.623,0.646,0.671,0.667,0.659,0.636,0.601,0.652,0.667
0.622,0.644,0.669,0.667,0.659,0.636,0.59,0.652,0.667
0.621,0.643,0.669,0.666,0.659,0.636,0.59,0.651,0.666
0.618,0.642,0.669,0.666,0.658,0.635,0.59,0.65,0.666
0.617,0.641,0.668,0.666,0.657,0.633,0.587,0.65,0.666
0.616,0.641,0.668,0.665,0.657,0.632,0.571,0.645,0.665
