_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819
0.816,0.815,0.819,0.819,0.818,0.818,0.818,0.818,0.819,0.819
0.81,0.814,0.818,0.818,0.816,0.818,0.812,0.817,0.818,0.819
0.809,0.813,0.818,0.818,0.815,0.815,0.798,0.813,0.818,0.819
0.802,0.812,0.813,0.813,0.812,0.814,0.798,0.81,0.813,0.819
0.79,0.811,0.813,0.813,0.811,0.812,0.798,0.809,0.813,0.819
0.789,0.809,0.813,0.813,0.81,0.811,0.793,0.808,0.813,0.819
0.783,0.809,0.813,0.813,0.809,0.81,0.781,0.807,0.813,0.818
0.782,0.808,0.812,0.812,0.806,0.807,0.766,0.806,0.812,0.813
0.762,0.807,0.812,0.811,0.796,0.806,0.766,0.802,0.811,0.813
0.75,0.802,0.811,0.811,0.795,0.803,0.766,0.801,0.811,0.813
0.725,0.8,0.811,0.81,0.792,0.802,0.752,0.797,0.81,0.813
0.725,0.798,0.81,0.809,0.786,0.801,0.751,0.795,0.809,0.813
0.724,0.797,0.81,0.808,0.785,0.797,0.751,0.794,0.808,0.809
0.713,0.796,0.81,0.807,0.783,0.796,0.749,0.793,0.807,0.809
0.711,0.796,0.81,0.806,0.782,0.795,0.739,0.792,0.806,0.809
0.71,0.793,0.81,0.806,0.782,0.792,0.739,0.791,0.806,0.809
0.71,0.792,0.81,0.806,0.781,0.79,0.739,0.79,0.806,0.807
0.709,0.791,0.81,0.806,0.778,0.789,0.739,0.79,0.806,0.798
0.703,0.79,0.81,0.806,0.775,0.784,0.739,0.785,0.806,0.798
0.703,0.789,0.81,0.805,0.774,0.782,0.739,0.784,0.805,0.798
0.7,0.788,0.81,0.804,0.773,0.779,0.733,0.782,0.804,0.798
0.698,0.786,0.809,0.803,0.773,0.779,0.731,0.781,0.803,0.798
0.696,0.785,0.808,0.802,0.772,0.779,0.731,0.78,0.802,0.798
0.685,0.784,0.807,0.801,0.77,0.778,0.731,0.779,0.801,0.798
0.684,0.782,0.806,0.801,0.769,0.771,0.729,0.776,0.801,0.798
0.673,0.782,0.806,0.799,0.768,0.766,0.726,0.775,0.799,0.798
0.669,0.781,0.806,0.798,0.767,0.765,0.723,0.774,0.798,0.798
0.668,0.78,0.805,0.798,0.763,0.763,0.723,0.773,0.798,0.798
0.665,0.779,0.805,0.797,0.762,0.761,0.723,0.769,0.797,0.798
0.665,0.778,0.805,0.796,0.761,0.76,0.723,0.767,0.796,0.796
0.659,0.777,0.805,0.796,0.76,0.751,0.722,0.755,0.796,0.796
0.654,0.775,0.805,0.795,0.757,0.75,0.718,0.754,0.795,0.796
0.652,0.773,0.805,0.793,0.756,0.749,0.718,0.751,0.793,0.796
0.638,0.772,0.805,0.792,0.751,0.741,0.713,0.75,0.792,0.796
0.636,0.771,0.803,0.792,0.748,0.737,0.709,0.747,0.792,0.796
0.635,0.771,0.803,0.792,0.744,0.734,0.707,0.744,0.792,0.796
0.634,0.768,0.802,0.79,0.744,0.733,0.707,0.743,0.79,0.795
0.627,0.767,0.801,0.789,0.742,0.728,0.707,0.742,0.789,0.793
0.622,0.766,0.801,0.787,0.742,0.726,0.707,0.74,0.787,0.793
0.621,0.765,0.801,0.787,0.741,0.726,0.707,0.739,0.787,0.793
0.62,0.762,0.801,0.786,0.74,0.725,0.703,0.736,0.786,0.793
0.617,0.761,0.799,0.785,0.733,0.723,0.703,0.735,0.785,0.793
0.611,0.759,0.799,0.785,0.722,0.721,0.703,0.734,0.785,0.793
0.61,0.752,0.798,0.784,0.72,0.719,0.699,0.733,0.784,0.79
0.607,0.749,0.797,0.783,0.717,0.715,0.699,0.732,0.783,0.79
0.605,0.747,0.797,0.782,0.699,0.711,0.699,0.731,0.782,0.783
0.6,0.746,0.797,0.781,0.697,0.711,0.696,0.706,0.781,0.783
0.59,0.746,0.797,0.78,0.696,0.707,0.686,0.703,0.78,0.783
0.59,0.746,0.796,0.78,0.696,0.706,0.686,0.699,0.78,0.783
0.587,0.745,0.796,0.779,0.696,0.706,0.674,0.698,0.779,0.783
0.579,0.744,0.796,0.777,0.694,0.705,0.671,0.696,0.777,0.778
0.579,0.744,0.796,0.776,0.693,0.698,0.671,0.69,0.776,0.778
