_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
0.972,0.972,0.972,0.972,0.971,0.972,0.972,0.972,0.972,0.969
0.971,0.971,0.971,0.971,0.97,0.971,0.971,0.972,0.971,0.969
0.97,0.97,0.97,0.97,0.969,0.97,0.97,0.971,0.97,0.969
0.969,0.969,0.969,0.969,0.968,0.969,0.969,0.971,0.969,0.968
0.968,0.968,0.969,0.969,0.967,0.968,0.968,0.97,0.969,0.962
0.964,0.967,0.968,0.968,0.962,0.967,0.966,0.969,0.968,0.962
0.963,0.966,0.968,0.967,0.961,0.966,0.963,0.968,0.967,0.962
0.962,0.965,0.967,0.966,0.959,0.964,0.961,0.967,0.966,0.962
0.961,0.964,0.966,0.966,0.958,0.959,0.956,0.966,0.966,0.962
0.96,0.963,0.966,0.965,0.957,0.957,0.956,0.965,0.965,0.962
0.959,0.962,0.966,0.964,0.957,0.956,0.954,0.964,0.964,0.96
0.958,0.961,0.966,0.964,0.956,0.955,0.951,0.963,0.964,0.959
0.957,0.96,0.966,0.963,0.955,0.954,0.949,0.962,0.963,0.958
0.952,0.959,0.966,0.962,0.954,0.943,0.948,0.961,0.962,0.952
0.951,0.958,0.966,0.961,0.951,0.942,0.948,0.96,0.961,0.952
0.949,0.957,0.966,0.961,0.95,0.941,0.947,0.959,0.961,0.952
0.947,0.956,0.966,0.96,0.949,0.94,0.947,0.958,0.96,0.952
0.946,0.955,0.965,0.959,0.948,0.939,0.945,0.957,0.959,0.952
0.944,0.954,0.965,0.958,0.947,0.938,0.943,0.956,0.958,0.952
0.943,0.953,0.964,0.958,0.946,0.937,0.942,0.955,0.958,0.952
0.942,0.952,0.963,0.958,0.945,0.936,0.938,0.954,0.958,0.952
0.941,0.951,0.963,0.957,0.944,0.935,0.938,0.953,0.957,0.952
0.94,0.95,0.963,0.956,0.943,0.934,0.937,0.952,0.956,0.952
0.939,0.949,0.962,0.955,0.942,0.929,0.936,0.951,0.955,0.952
0.938,0.948,0.961,0.954,0.941,0.928,0.935,0.95,0.954,0.952
0.937,0.947,0.96,0.954,0.939,0.927,0.934,0.949,0.954,0.95
0.936,0.945,0.96,0.953,0.938,0.92,0.931,0.948,0.953,0.95
0.934,0.944,0.959,0.952,0.937,0.919,0.931,0.947,0.952,0.95
0.931,0.943,0.958,0.951,0.936,0.918,0.927,0.945,0.951,0.95
0.93,0.942,0.958,0.95,0.934,0.917,0.92,0.944,0.95,0.95
0.929,0.941,0.957,0.949,0.932,0.916,0.91,0.943,0.949,0.95
0.928,0.94,0.957,0.948,0.931,0.912,0.903,0.943,0.948,0.943
0.925,0.939,0.956,0.947,0.926,0.911,0.901,0.942,0.947,0.943
0.924,0.938,0.955,0.946,0.924,0.91,0.895,0.941,0.946,0.938
0.923,0.937,0.955,0.945,0.923,0.909,0.891,0.94,0.945,0.934
0.923,0.936,0.955,0.945,0.922,0.907,0.891,0.939,0.945,0.934
0.922,0.935,0.954,0.944,0.921,0.906,0.886,0.938,0.944,0.934
0.921,0.934,0.953,0.943,0.92,0.905,0.886,0.936,0.943,0.934
0.92,0.933,0.952,0.942,0.919,0.904,0.886,0.934,0.942,0.934
0.919,0.931,0.951,0.941,0.918,0.895,0.886,0.933,0.941,0.923
0.919,0.93,0.951,0.94,0.917,0.889,0.885,0.932,0.94,0.923
0.915,0.929,0.95,0.939,0.916,0.888,0.881,0.931,0.939,0.923
0.914,0.928,0.949,0.938,0.915,0.885,0.881,0.93,0.938,0.923
0.913,0.927,0.948,0.938,0.912,0.879,0.881,0.929,0.938,0.923
0.909,0.926,0.948,0.937,0.911,0.879,0.878,0.928,0.937,0.923
0.908,0.925,0.947,0.936,0.91,0.878,0.878,0.927,0.936,0.923
0.904,0.922,0.947,0.935,0.909,0.877,0.875,0.926,0.935,0.923
0.903,0.921,0.946,0.934,0.908,0.876,0.871,0.925,0.934,0.923
0.902,0.92,0.945,0.933,0.905,0.875,0.871,0.924,0.933,0.923
