_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
0.866,0.865,0.866,0.866,0.865,0.865,0.865,0.866,0.866,0.866
0.865,0.863,0.865,0.865,0.864,0.863,0.864,0.866,0.865,0.866
0.861,0.862,0.865,0.864,0.861,0.856,0.863,0.866,0.864,0.866
0.86,0.861,0.865,0.864,0.86,0.856,0.862,0.865,0.864,0.866
0.858,0.86,0.864,0.864,0.859,0.855,0.861,0.865,0.864,0.866
0.857,0.859,0.863,0.863,0.858,0.852,0.86,0.864,0.863,0.866
0.856,0.858,0.862,0.862,0.857,0.851,0.858,0.863,0.862,0.866
0.855,0.857,0.862,0.861,0.857,0.85,0.854,0.862,0.861,0.866
0.854,0.857,0.862,0.86,0.856,0.849,0.851,0.861,0.86,0.866
0.853,0.856,0.861,0.859,0.855,0.846,0.849,0.859,0.859,0.866
0.852,0.855,0.861,0.859,0.854,0.845,0.848,0.857,0.859,0.866
0.85,0.854,0.86,0.859,0.852,0.845,0.847,0.856,0.859,0.866
0.846,0.853,0.86,0.859,0.85,0.843,0.844,0.855,0.859,0.866
0.845,0.851,0.86,0.859,0.848,0.842,0.844,0.854,0.859,0.866
0.844,0.85,0.86,0.857,0.846,0.842,0.843,0.853,0.857,0.866
0.841,0.849,0.859,0.857,0.845,0.841,0.842,0.852,0.857,0.865
0.84,0.849,0.859,0.857,0.843,0.84,0.842,0.852,0.857,0.864
0.839,0.849,0.859,0.857,0.841,0.838,0.839,0.852,0.857,0.864
0.838,0.848,0.859,0.857,0.84,0.838,0.839,0.851,0.857,0.863
0.837,0.847,0.859,0.856,0.839,0.837,0.837,0.849,0.856,0.863
0.836,0.846,0.859,0.856,0.837,0.836,0.837,0.848,0.856,0.863
0.835,0.845,0.859,0.855,0.836,0.833,0.836,0.847,0.855,0.863
0.832,0.844,0.857,0.854,0.835,0.833,0.832,0.846,0.854,0.863
0.83,0.843,0.857,0.853,0.832,0.831,0.831,0.845,0.853,0.863
0.829,0.841,0.856,0.852,0.83,0.831,0.83,0.844,0.852,0.863
0.827,0.841,0.856,0.851,0.829,0.83,0.826,0.843,0.851,0.863
0.825,0.84,0.856,0.85,0.828,0.826,0.824,0.842,0.85,0.863
0.824,0.839,0.856,0.85,0.826,0.824,0.823,0.841,0.85,0.863
0.82,0.838,0.854,0.848,0.825,0.823,0.82,0.84,0.848,0.863
0.819,0.838,0.854,0.848,0.821,0.822,0.815,0.839,0.848,0.862
0.815,0.835,0.854,0.848,0.818,0.819,0.812,0.838,0.848,0.858
0.815,0.834,0.854,0.848,0.812,0.818,0.797,0.837,0.848,0.858
0.813,0.833,0.853,0.848,0.811,0.816,0.797,0.836,0.848,0.858
0.812,0.832,0.852,0.848,0.807,0.816,0.795,0.835,0.848,0.858
0.81,0.831,0.852,0.848,0.806,0.816,0.793,0.834,0.848,0.858
0.808,0.831,0.852,0.848,0.803,0.815,0.79,0.83,0.848,0.858
0.807,0.83,0.852,0.847,0.802,0.814,0.788,0.829,0.847,0.858
0.806,0.829,0.852,0.846,0.801,0.813,0.786,0.828,0.846,0.858
0.803,0.827,0.851,0.845,0.799,0.812,0.786,0.826,0.845,0.858
0.802,0.827,0.851,0.845,0.796,0.811,0.785,0.825,0.845,0.858
0.801,0.827,0.851,0.844,0.794,0.81,0.78,0.824,0.844,0.858
0.793,0.826,0.851,0.843,0.793,0.807,0.779,0.823,0.843,0.858
0.792,0.826,0.85,0.843,0.79,0.805,0.775,0.822,0.843,0.858
0.791,0.825,0.85,0.842,0.788,0.802,0.775,0.821,0.842,0.858
0.79,0.824,0.85,0.841,0.785,0.801,0.772,0.82,0.841,0.858
0.789,0.823,0.85,0.841,0.784,0.8,0.767,0.819,0.841,0.858
0.788,0.822,0.85,0.841,0.782,0.799,0.767,0.818,0.841,0.858
0.786,0.821,0.85,0.84,0.781,0.795,0.767,0.817,0.84,0.858
0.785,0.82,0.85,0.839,0.779,0.794,0.763,0.815,0.839,0.858
0.784,0.82,0.85,0.839,0.778,0.793,0.763,0.814,0.839,0.854
0.783,0.819,0.849,0.838,0.777,0.792,0.763,0.813,0.838,0.854
0.782,0.818,0.849,0.837,0.776,0.791,0.761,0.812,0.837,0.854
0.781,0.817,0.848,0.837,0.768,0.786,0.761,0.81,0.837,0.854
0.777,0.816,0.848,0.836,0.763,0.784,0.75,0.809,0.836,0.854
0.776,0.816,0.848,0.835,0.762,0.776,0.75,0.808,0.835,0.854
0.775,0.815,0.848,0.835,0.761,0.774,0.75,0.807,0.835,0.854
0.774,0.814,0.848,0.835,0.76,0.774,0.747,0.805,0.835,0.854
0.773,0.813,0.848,0.834,0.76,0.773,0.747,0.804,0.834,0.854
0.772,0.813,0.848,0.834,0.759,0.77,0.743,0.803,0.834,0.854
0.766,0.811,0.848,0.833,0.759,0.77,0.743,0.802,0.833,0.854
0.764,0.81,0.848,0.833,0.757,0.769,0.743,0.801,0.833,0.854
0.763,0.809,0.848,0.832,0.756,0.767,0.743,0.799,0.832,0.854
0.76,0.808,0.848,0.831,0.748,0.764,0.742,0.798,0.831,0.854
0.757,0.807,0.848,0.83,0.746,0.764,0.733,0.796,0.83,0.854
0.756,0.806,0.848,0.829,0.743,0.763,0.726,0.795,0.829,0.854
0.755,0.806,0.848,0.828,0.741,0.759,0.726,0.794,0.828,0.854
0.754,0.805,0.848,0.827,0.738,0.757,0.724,0.793,0.827,0.854
0.744,0.805,0.847,0.826,0.737,0.756,0.721,0.792,0.826,0.854
0.741,0.805,0.847,0.824,0.731,0.756,0.71,0.791,0.824,0.854
0.737,0.804,0.847,0.823,0.73,0.755,0.71,0.79,0.823,0.854
0.731,0.802,0.846,0.823,0.73,0.753,0.707,0.789,0.823,0.854
0.729,0.801,0.846,0.82,0.73,0.751,0.707,0.788,0.82,0.854
0.716,0.8,0.846,0.819,0.729,0.75,0.705,0.787,0.819,0.854
0.715,0.799,0.846,0.818,0.728,0.748,0.701,0.786,0.818,0.854
0.7,0.798,0.845,0.817,0.727,0.746,0.701,0.785,0.817,0.854
0.698,0.797,0.844,0.816,0.726,0.745,0.701,0.784,0.816,0.854
0.695,0.796,0.843,0.815,0.725,0.744,0.7,0.779,0.815,0.854
0.694,0.796,0.843,0.814,0.723,0.743,0.699,0.779,0.814,0.854
0.692,0.795,0.843,0.813,0.722,0.742,0.69,0.778,0.813,0.849
0.691,0.794,0.842,0.811,0.721,0.74,0.688,0.777,0.811,0.849
