_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973,0.973
0.972,0.972,0.973,0.973,0.972,0.972,0.972,0.972,0.973,0.972
0.971,0.971,0.972,0.972,0.969,0.97,0.971,0.971,0.972,0.972
0.969,0.97,0.971,0.971,0.968,0.969,0.97,0.97,0.971,0.969
0.968,0.969,0.97,0.97,0.965,0.968,0.969,0.969,0.97,0.965
0.967,0.967,0.969,0.969,0.964,0.967,0.968,0.968,0.969,0.965
0.966,0.966,0.968,0.968,0.961,0.966,0.967,0.967,0.968,0.965
0.962,0.965,0.967,0.967,0.96,0.966,0.964,0.966,0.967,0.965
0.958,0.964,0.966,0.966,0.959,0.965,0.963,0.965,0.966,0.965
0.957,0.963,0.965,0.965,0.957,0.964,0.962,0.964,0.965,0.965
0.956,0.962,0.965,0.964,0.956,0.96,0.959,0.963,0.964,0.965
0.955,0.961,0.965,0.963,0.954,0.959,0.956,0.962,0.963,0.964
0.954,0.961,0.965,0.963,0.953,0.956,0.956,0.961,0.963,0.963
0.953,0.959,0.964,0.962,0.952,0.955,0.955,0.96,0.962,0.963
0.952,0.958,0.963,0.962,0.95,0.952,0.954,0.959,0.962,0.962
0.951,0.957,0.963,0.961,0.949,0.951,0.952,0.958,0.961,0.947
0.951,0.956,0.962,0.96,0.947,0.95,0.951,0.957,0.96,0.947
0.946,0.955,0.962,0.959,0.946,0.949,0.949,0.956,0.959,0.947
0.939,0.954,0.961,0.958,0.945,0.947,0.949,0.955,0.958,0.947
0.938,0.953,0.961,0.957,0.942,0.946,0.946,0.954,0.957,0.947
0.937,0.952,0.96,0.956,0.941,0.945,0.945,0.953,0.956,0.947
0.936,0.952,0.96,0.955,0.941,0.944,0.944,0.952,0.955,0.947
0.935,0.951,0.959,0.954,0.94,0.942,0.942,0.951,0.954,0.947
0.934,0.949,0.959,0.953,0.939,0.941,0.941,0.95,0.953,0.947
0.933,0.948,0.958,0.952,0.938,0.938,0.937,0.948,0.952,0.942
0.931,0.947,0.957,0.952,0.937,0.937,0.935,0.947,0.952,0.942
0.93,0.946,0.956,0.951,0.936,0.936,0.934,0.946,0.951,0.942
0.927,0.945,0.955,0.95,0.935,0.935,0.933,0.945,0.95,0.942
0.926,0.944,0.955,0.949,0.934,0.934,0.931,0.944,0.949,0.942
0.925,0.943,0.954,0.948,0.933,0.933,0.928,0.943,0.948,0.942
0.922,0.942,0.954,0.947,0.932,0.931,0.927,0.941,0.947,0.941
0.92,0.941,0.953,0.946,0.931,0.93,0.92,0.94,0.946,0.941
0.919,0.94,0.952,0.945,0.929,0.925,0.917,0.939,0.945,0.94
0.918,0.939,0.951,0.944,0.928,0.924,0.915,0.938,0.944,0.937
0.908,0.938,0.95,0.942,0.927,0.923,0.913,0.937,0.942,0.936
0.907,0.937,0.949,0.941,0.926,0.922,0.908,0.936,0.941,0.936
0.906,0.936,0.949,0.94,0.922,0.921,0.906,0.935,0.94,0.936
0.905,0.935,0.948,0.939,0.92,0.92,0.905,0.934,0.939,0.935
0.9,0.934,0.948,0.938,0.919,0.919,0.905,0.933,0.938,0.931
0.898,0.933,0.948,0.937,0.918,0.916,0.899,0.93,0.937,0.931
0.897,0.932,0.947,0.937,0.916,0.915,0.897,0.929,0.937,0.931
0.897,0.931,0.947,0.936,0.915,0.914,0.894,0.928,0.936,0.929
0.896,0.93,0.947,0.935,0.914,0.913,0.894,0.927,0.935,0.928
0.896,0.929,0.946,0.934,0.913,0.912,0.894,0.926,0.934,0.923
0.896,0.928,0.946,0.933,0.912,0.909,0.881,0.925,0.933,0.923
0.895,0.927,0.946,0.931,0.911,0.908,0.879,0.924,0.931,0.923
0.893,0.926,0.946,0.93,0.907,0.907,0.879,0.923,0.93,0.923
0.884,0.925,0.946,0.928,0.906,0.905,0.87,0.921,0.928,0.923
