_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656
0.654,0.655,0.656,0.656,0.653,0.656,0.646,0.656,0.656,0.656
0.653,0.655,0.656,0.656,0.652,0.656,0.642,0.656,0.656,0.656
0.651,0.652,0.656,0.656,0.652,0.655,0.64,0.656,0.656,0.656
0.649,0.652,0.656,0.656,0.649,0.655,0.632,0.656,0.656,0.656
0.644,0.651,0.656,0.656,0.647,0.655,0.632,0.656,0.656,0.656
0.613,0.65,0.654,0.654,0.646,0.652,0.621,0.656,0.654,0.656
0.602,0.65,0.653,0.653,0.645,0.652,0.609,0.656,0.653,0.656
0.58,0.65,0.653,0.653,0.643,0.651,0.596,0.656,0.653,0.656
0.58,0.649,0.653,0.653,0.639,0.65,0.582,0.655,0.653,0.656
0.578,0.649,0.653,0.653,0.637,0.649,0.568,0.654,0.653,0.656
0.576,0.648,0.653,0.653,0.634,0.648,0.561,0.654,0.653,0.656
0.574,0.647,0.653,0.653,0.633,0.647,0.549,0.653,0.653,0.656
0.568,0.646,0.653,0.653,0.63,0.647,0.549,0.642,0.653,0.656
0.566,0.646,0.653,0.652,0.625,0.646,0.549,0.642,0.652,0.656
0.566,0.644,0.653,0.651,0.624,0.644,0.526,0.642,0.651,0.656
0.565,0.643,0.653,0.651,0.623,0.643,0.526,0.641,0.651,0.656
0.563,0.642,0.653,0.651,0.621,0.642,0.526,0.64,0.651,0.656
0.56,0.639,0.653,0.651,0.619,0.641,0.526,0.639,0.651,0.656
0.558,0.637,0.653,0.65,0.615,0.638,0.526,0.638,0.65,0.656
0.557,0.636,0.653,0.649,0.613,0.637,0.495,0.636,0.649,0.656
0.556,0.635,0.653,0.649,0.611,0.635,0.495,0.629,0.649,0.656
0.553,0.635,0.653,0.649,0.61,0.631,0.494,0.628,0.649,0.656
0.552,0.634,0.653,0.649,0.61,0.629,0.485,0.627,0.649,0.656
0.549,0.631,0.652,0.649,0.6,0.629,0.485,0.626,0.649,0.656
0.545,0.631,0.651,0.649,0.596,0.627,0.485,0.626,0.649,0.656
0.544,0.629,0.651,0.648,0.596,0.626,0.481,0.625,0.648,0.656
0.519,0.629,0.651,0.648,0.596,0.622,0.481,0.624,0.648,0.656
0.516,0.629,0.651,0.647,0.596,0.622,0.481,0.622,0.647,0.656
0.513,0.629,0.651,0.642,0.596,0.622,0.481,0.621,0.642,0.656
0.512,0.628,0.651,0.642,0.594,0.621,0.481,0.619,0.642,0.656
0.505,0.628,0.651,0.642,0.592,0.62,0.481,0.616,0.642,0.656
0.505,0.627,0.651,0.642,0.59,0.619,0.478,0.614,0.642,0.656
0.496,0.626,0.651,0.64,0.587,0.619,0.478,0.613,0.64,0.656
0.474,0.624,0.65,0.64,0.584,0.619,0.464,0.608,0.64,0.656
0.473,0.618,0.649,0.639,0.583,0.617,0.464,0.607,0.639,0.656
0.473,0.615,0.649,0.638,0.582,0.616,0.459,0.606,0.638,0.656
0.472,0.612,0.649,0.638,0.582,0.615,0.459,0.605,0.638,0.656
0.469,0.612,0.649,0.637,0.577,0.615,0.459,0.603,0.637,0.656
0.459,0.612,0.649,0.636,0.574,0.606,0.446,0.602,0.636,0.656
0.452,0.612,0.649,0.636,0.572,0.604,0.446,0.6,0.636,0.656
0.449,0.611,0.649,0.636,0.57,0.599,0.441,0.599,0.636,0.656
0.449,0.61,0.648,0.636,0.57,0.598,0.441,0.598,0.636,0.656
0.449,0.609,0.647,0.635,0.568,0.597,0.441,0.59,0.635,0.656
0.431,0.609,0.647,0.634,0.568,0.596,0.441,0.589,0.634,0.656
0.42,0.608,0.647,0.634,0.567,0.594,0.441,0.588,0.634,0.656
0.417,0.608,0.647,0.634,0.564,0.594,0.428,0.586,0.634,0.656
0.417,0.607,0.647,0.633,0.556,0.584,0.427,0.585,0.633,0.656
0.417,0.606,0.647,0.633,0.547,0.582,0.427,0.582,0.633,0.656
0.409,0.605,0.647,0.633,0.544,0.581,0.42,0.578,0.633,0.656
0.398,0.603,0.647,0.63,0.544,0.58,0.42,0.572,0.63,0.656
0.398,0.602,0.647,0.628,0.544,0.579,0.42,0.568,0.628,0.656
0.398,0.6,0.647,0.627,0.544,0.577,0.42,0.567,0.627,0.656
0.389,0.599,0.647,0.627,0.543,0.575,0.42,0.562,0.627,0.656
0.387,0.599,0.646,0.627,0.54,0.569,0.42,0.56,0.627,0.656
0.37,0.598,0.646,0.627,0.534,0.568,0.417,0.558,0.627,0.655
0.365,0.594,0.646,0.627,0.534,0.567,0.417,0.557,0.627,0.651
0.365,0.591,0.646,0.625,0.53,0.565,0.417,0.557,0.625,0.651
0.325,0.59,0.641,0.624,0.529,0.564,0.417,0.556,0.624,0.651
0.325,0.582,0.641,0.623,0.523,0.562,0.409,0.555,0.623,0.651
0.325,0.582,0.641,0.622,0.522,0.56,0.409,0.554,0.622,0.651
0.325,0.579,0.64,0.621,0.522,0.558,0.409,0.553,0.621,0.651
0.325,0.578,0.64,0.621,0.517,0.556,0.409,0.551,0.621,0.651
0.296,0.578,0.639,0.62,0.516,0.552,0.405,0.549,0.62,0.651
0.29,0.574,0.639,0.619,0.507,0.551,0.379,0.548,0.619,0.651
0.169,0.574,0.639,0.618,0.507,0.55,0.379,0.547,0.618,0.651
0.121,0.57,0.638,0.618,0.506,0.546,0.379,0.546,0.618,0.65
0.115,0.57,0.638,0.617,0.506,0.54,0.379,0.544,0.617,0.639
0.112,0.569,0.636,0.617,0.505,0.536,0.379,0.542,0.617,0.639
0.112,0.569,0.636,0.617,0.501,0.535,0.379,0.536,0.617,0.639
0.112,0.569,0.636,0.617,0.501,0.53,0.379,0.534,0.617,0.639
0.112,0.569,0.636,0.617,0.5,0.53,0.379,0.53,0.617,0.639
0.112,0.568,0.636,0.617,0.497,0.528,0.379,0.529,0.617,0.639
0.112,0.568,0.636,0.616,0.497,0.527,0.379,0.529,0.616,0.639
0.11,0.567,0.636,0.616,0.495,0.523,0.379,0.528,0.616,0.639
0.11,0.564,0.636,0.615,0.494,0.522,0.379,0.527,0.615,0.639
0.106,0.564,0.636,0.614,0.493,0.516,0.378,0.524,0.614,0.639
0.106,0.564,0.635,0.614,0.493,0.51,0.371,0.515,0.614,0.639
0.106,0.558,0.635,0.614,0.492,0.51,0.371,0.512,0.614,0.639
0.104,0.556,0.635,0.614,0.492,0.509,0.355,0.492,0.614,0.639
0.104,0.553,0.635,0.611,0.489,0.498,0.355,0.486,0.611,0.639
0.104,0.553,0.635,0.611,0.489,0.498,0.353,0.482,0.611,0.639
0.104,0.551,0.635,0.611,0.488,0.492,0.353,0.481,0.611,0.639
0.102,0.55,0.635,0.611,0.487,0.491,0.353,0.471,0.611,0.639
0.093,0.55,0.635,0.611,0.487,0.489,0.353,0.467,0.611,0.639
0.093,0.548,0.635,0.611,0.485,0.486,0.353,0.456,0.611,0.639
0.093,0.547,0.635,0.611,0.484,0.485,0.353,0.456,0.611,0.639
0.093,0.546,0.635,0.61,0.476,0.485,0.353,0.452,0.61,0.639
0.093,0.546,0.634,0.606,0.475,0.484,0.353,0.451,0.606,0.639
0.093,0.543,0.633,0.604,0.475,0.482,0.353,0.446,0.604,0.629
0.093,0.543,0.633,0.604,0.472,0.482,0.353,0.445,0.604,0.629
0.091,0.543,0.632,0.601,0.47,0.48,0.353,0.444,0.601,0.629
0.091,0.543,0.632,0.601,0.446,0.48,0.353,0.432,0.601,0.629
0.091,0.539,0.632,0.601,0.443,0.48,0.34,0.432,0.601,0.629
0.091,0.539,0.632,0.601,0.443,0.479,0.34,0.432,0.601,0.629
0.055,0.539,0.632,0.601,0.441,0.473,0.338,0.432,0.601,0.629
0.055,0.537,0.632,0.601,0.441,0.469,0.327,0.417,0.601,0.629
0.055,0.534,0.632,0.601,0.437,0.468,0.327,0.417,0.601,0.629
0.012,0.533,0.632,0.6,0.429,0.468,0.327,0.415,0.6,0.629
0.012,0.532,0.632,0.599,0.414,0.466,0.327,0.408,0.599,0.616
0.012,0.528,0.632,0.599,0.412,0.463,0.317,0.396,0.599,0.616
