_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683
0.679,0.68,0.683,0.683,0.681,0.683,0.682,0.683,0.683,0.683
0.676,0.679,0.683,0.683,0.68,0.678,0.681,0.683,0.683,0.683
0.675,0.679,0.682,0.682,0.679,0.677,0.68,0.683,0.682,0.683
0.674,0.679,0.681,0.681,0.677,0.677,0.678,0.683,0.681,0.683
0.673,0.679,0.681,0.681,0.676,0.676,0.677,0.683,0.681,0.683
0.672,0.678,0.681,0.681,0.674,0.675,0.677,0.682,0.681,0.683
0.669,0.677,0.681,0.681,0.673,0.675,0.675,0.681,0.681,0.683
0.668,0.676,0.68,0.68,0.672,0.674,0.672,0.681,0.68,0.683
0.667,0.676,0.68,0.68,0.67,0.674,0.671,0.681,0.68,0.683
0.666,0.676,0.68,0.68,0.669,0.669,0.667,0.68,0.68,0.679
0.664,0.675,0.678,0.678,0.667,0.668,0.665,0.679,0.678,0.679
0.663,0.675,0.678,0.678,0.665,0.667,0.659,0.678,0.678,0.679
0.652,0.674,0.678,0.678,0.657,0.667,0.656,0.677,0.678,0.679
0.651,0.673,0.677,0.677,0.655,0.666,0.654,0.674,0.677,0.679
0.649,0.672,0.677,0.675,0.652,0.666,0.651,0.672,0.675,0.674
0.647,0.67,0.675,0.675,0.649,0.666,0.646,0.671,0.675,0.674
0.617,0.67,0.675,0.674,0.648,0.665,0.646,0.671,0.674,0.674
0.616,0.67,0.674,0.673,0.647,0.664,0.644,0.671,0.673,0.674
0.614,0.669,0.673,0.668,0.646,0.664,0.639,0.67,0.668,0.674
0.613,0.668,0.673,0.668,0.644,0.663,0.636,0.669,0.668,0.674
0.609,0.667,0.673,0.662,0.644,0.662,0.632,0.668,0.662,0.674
0.608,0.666,0.668,0.661,0.643,0.661,0.632,0.667,0.661,0.674
0.606,0.665,0.668,0.66,0.641,0.66,0.632,0.666,0.66,0.674
0.605,0.664,0.668,0.659,0.641,0.658,0.628,0.663,0.659,0.674
0.604,0.664,0.668,0.658,0.64,0.658,0.627,0.662,0.658,0.674
0.602,0.663,0.662,0.658,0.638,0.657,0.624,0.661,0.658,0.674
0.601,0.662,0.662,0.658,0.637,0.656,0.624,0.66,0.658,0.674
0.6,0.66,0.661,0.658,0.635,0.655,0.622,0.658,0.658,0.674
0.585,0.656,0.66,0.658,0.634,0.654,0.62,0.657,0.658,0.674
0.584,0.656,0.66,0.657,0.632,0.653,0.619,0.656,0.657,0.674
0.582,0.654,0.66,0.655,0.631,0.652,0.611,0.655,0.655,0.674
0.581,0.654,0.658,0.655,0.63,0.651,0.608,0.654,0.655,0.674
0.579,0.652,0.658,0.654,0.628,0.648,0.599,0.653,0.654,0.674
0.577,0.652,0.657,0.653,0.627,0.647,0.598,0.652,0.653,0.674
0.575,0.651,0.657,0.652,0.622,0.645,0.594,0.65,0.652,0.674
0.573,0.649,0.657,0.652,0.62,0.645,0.592,0.649,0.652,0.674
0.568,0.648,0.657,0.648,0.615,0.644,0.588,0.648,0.648,0.674
0.564,0.648,0.656,0.647,0.613,0.643,0.585,0.647,0.647,0.674
0.562,0.647,0.656,0.647,0.612,0.642,0.585,0.644,0.647,0.674
0.559,0.647,0.656,0.647,0.611,0.64,0.576,0.643,0.647,0.674
0.552,0.647,0.656,0.646,0.607,0.639,0.573,0.642,0.646,0.674
0.547,0.646,0.655,0.644,0.606,0.635,0.559,0.641,0.644,0.674
0.545,0.646,0.655,0.643,0.605,0.633,0.557,0.639,0.643,0.674
0.542,0.643,0.654,0.643,0.6,0.629,0.557,0.635,0.643,0.674
0.54,0.642,0.654,0.643,0.594,0.629,0.556,0.634,0.643,0.674
0.54,0.641,0.654,0.643,0.593,0.628,0.552,0.633,0.643,0.665
0.536,0.638,0.653,0.641,0.592,0.627,0.552,0.632,0.641,0.665
0.534,0.637,0.653,0.64,0.59,0.626,0.548,0.625,0.64,0.665
