_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793
0.791,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793
0.79,0.792,0.793,0.793,0.793,0.793,0.766,0.788,0.793,0.793
0.784,0.791,0.793,0.793,0.793,0.791,0.766,0.788,0.793,0.793
0.782,0.791,0.793,0.793,0.793,0.791,0.766,0.787,0.793,0.793
0.781,0.79,0.793,0.792,0.792,0.788,0.766,0.787,0.792,0.793
0.777,0.789,0.793,0.792,0.792,0.787,0.706,0.786,0.792,0.793
0.776,0.788,0.792,0.791,0.792,0.787,0.706,0.785,0.791,0.793
0.774,0.786,0.791,0.783,0.784,0.786,0.706,0.783,0.783,0.793
0.773,0.785,0.791,0.783,0.782,0.783,0.706,0.781,0.783,0.793
0.772,0.784,0.791,0.781,0.782,0.783,0.706,0.78,0.781,0.793
0.661,0.783,0.783,0.781,0.78,0.782,0.706,0.778,0.781,0.793
0.66,0.777,0.781,0.781,0.774,0.77,0.706,0.778,0.781,0.793
0.658,0.776,0.781,0.78,0.774,0.763,0.706,0.777,0.78,0.793
0.657,0.775,0.781,0.78,0.773,0.762,0.678,0.776,0.78,0.793
0.656,0.774,0.78,0.779,0.771,0.762,0.678,0.775,0.779,0.792
0.656,0.774,0.78,0.778,0.771,0.761,0.678,0.772,0.778,0.792
0.656,0.773,0.78,0.777,0.769,0.761,0.678,0.771,0.777,0.792
0.65,0.772,0.78,0.777,0.766,0.758,0.678,0.77,0.777,0.792
0.649,0.77,0.779,0.777,0.765,0.699,0.678,0.769,0.777,0.792
0.641,0.77,0.779,0.776,0.764,0.697,0.678,0.767,0.776,0.792
0.638,0.769,0.778,0.776,0.761,0.697,0.678,0.762,0.776,0.792
0.634,0.767,0.777,0.776,0.76,0.696,0.678,0.76,0.776,0.792
0.623,0.763,0.777,0.775,0.759,0.695,0.678,0.758,0.775,0.791
0.622,0.762,0.777,0.772,0.756,0.695,0.678,0.757,0.772,0.788
0.6,0.758,0.777,0.771,0.755,0.695,0.677,0.756,0.771,0.788
0.6,0.757,0.777,0.77,0.754,0.695,0.677,0.754,0.77,0.788
0.593,0.756,0.777,0.77,0.753,0.688,0.651,0.752,0.77,0.788
0.593,0.756,0.777,0.769,0.75,0.688,0.651,0.749,0.769,0.788
0.592,0.756,0.777,0.767,0.749,0.688,0.651,0.748,0.767,0.788
0.589,0.755,0.777,0.767,0.747,0.688,0.651,0.747,0.767,0.788
0.587,0.754,0.777,0.765,0.746,0.688,0.651,0.744,0.765,0.788
0.585,0.742,0.775,0.765,0.744,0.688,0.651,0.744,0.765,0.788
0.582,0.741,0.775,0.764,0.743,0.688,0.651,0.742,0.764,0.776
0.581,0.74,0.773,0.763,0.742,0.688,0.648,0.74,0.763,0.776
0.577,0.738,0.772,0.762,0.739,0.688,0.643,0.739,0.762,0.776
0.577,0.737,0.772,0.761,0.738,0.688,0.643,0.738,0.761,0.776
0.577,0.733,0.771,0.761,0.737,0.679,0.643,0.735,0.761,0.776
0.574,0.732,0.771,0.759,0.737,0.678,0.643,0.734,0.759,0.775
0.573,0.731,0.771,0.758,0.736,0.678,0.643,0.733,0.758,0.765
0.573,0.73,0.771,0.757,0.734,0.676,0.643,0.732,0.757,0.765
0.564,0.729,0.771,0.756,0.733,0.673,0.643,0.728,0.756,0.765
0.563,0.728,0.77,0.756,0.732,0.671,0.643,0.727,0.756,0.765
0.563,0.727,0.77,0.756,0.73,0.664,0.641,0.725,0.756,0.765
0.562,0.726,0.768,0.755,0.726,0.663,0.641,0.724,0.755,0.765
0.559,0.725,0.767,0.755,0.725,0.66,0.641,0.722,0.755,0.765
0.557,0.725,0.767,0.754,0.722,0.66,0.639,0.721,0.754,0.765
0.557,0.724,0.766,0.754,0.721,0.66,0.637,0.717,0.754,0.765
0.557,0.723,0.765,0.754,0.72,0.658,0.637,0.716,0.754,0.765
0.557,0.723,0.765,0.754,0.719,0.656,0.635,0.714,0.754,0.765
0.553,0.721,0.765,0.753,0.717,0.655,0.625,0.711,0.753,0.765
0.553,0.72,0.765,0.752,0.716,0.654,0.625,0.71,0.752,0.765
0.547,0.72,0.765,0.751,0.714,0.65,0.623,0.709,0.751,0.765
0.547,0.72,0.764,0.75,0.713,0.65,0.622,0.708,0.75,0.765
0.546,0.72,0.764,0.75,0.712,0.648,0.622,0.706,0.75,0.761
0.545,0.72,0.764,0.748,0.712,0.646,0.622,0.703,0.748,0.761
0.539,0.72,0.764,0.747,0.712,0.646,0.62,0.691,0.747,0.761
0.537,0.719,0.764,0.747,0.711,0.641,0.616,0.691,0.747,0.761
0.537,0.715,0.764,0.747,0.71,0.64,0.61,0.688,0.747,0.761
0.48,0.714,0.764,0.746,0.71,0.638,0.61,0.687,0.746,0.761
0.477,0.713,0.764,0.744,0.71,0.638,0.61,0.686,0.744,0.761
0.476,0.712,0.762,0.742,0.708,0.637,0.61,0.685,0.742,0.761
0.473,0.711,0.762,0.741,0.708,0.634,0.602,0.683,0.741,0.759
0.471,0.711,0.761,0.74,0.708,0.63,0.602,0.682,0.74,0.759
0.468,0.711,0.76,0.738,0.708,0.63,0.598,0.682,0.738,0.759
0.453,0.711,0.759,0.736,0.706,0.628,0.596,0.681,0.736,0.759
0.453,0.71,0.758,0.735,0.705,0.627,0.593,0.68,0.735,0.759
0.449,0.709,0.758,0.733,0.703,0.626,0.585,0.678,0.733,0.759
0.449,0.709,0.758,0.732,0.702,0.623,0.585,0.675,0.732,0.755
0.439,0.708,0.757,0.731,0.695,0.621,0.585,0.672,0.731,0.754
0.439,0.707,0.757,0.73,0.694,0.621,0.584,0.671,0.73,0.749
0.437,0.707,0.757,0.73,0.692,0.621,0.583,0.662,0.73,0.749
0.436,0.706,0.756,0.729,0.689,0.616,0.58,0.66,0.729,0.749
0.433,0.706,0.756,0.729,0.641,0.614,0.58,0.659,0.729,0.749
0.433,0.705,0.756,0.728,0.638,0.61,0.574,0.658,0.728,0.749
0.415,0.704,0.755,0.727,0.637,0.6,0.574,0.656,0.727,0.749
0.413,0.704,0.755,0.727,0.636,0.599,0.567,0.654,0.727,0.748
0.412,0.703,0.754,0.726,0.635,0.597,0.567,0.653,0.726,0.739
0.289,0.702,0.754,0.725,0.633,0.593,0.567,0.653,0.725,0.739
0.289,0.7,0.754,0.724,0.632,0.592,0.561,0.652,0.724,0.739
0.289,0.7,0.753,0.723,0.63,0.591,0.561,0.651,0.723,0.739
0.289,0.699,0.753,0.722,0.623,0.591,0.561,0.65,0.722,0.739
0.289,0.697,0.752,0.721,0.622,0.59,0.561,0.649,0.721,0.739
0.289,0.696,0.752,0.721,0.622,0.588,0.557,0.648,0.721,0.739
0.286,0.695,0.752,0.72,0.62,0.587,0.557,0.648,0.72,0.739
0.286,0.693,0.751,0.719,0.62,0.577,0.557,0.647,0.719,0.739
0.286,0.693,0.751,0.717,0.615,0.575,0.554,0.644,0.717,0.739
0.286,0.692,0.751,0.716,0.611,0.574,0.554,0.641,0.716,0.739
0.284,0.69,0.751,0.713,0.61,0.572,0.554,0.641,0.713,0.733
0.282,0.69,0.751,0.712,0.608,0.571,0.551,0.641,0.712,0.733
0.281,0.689,0.751,0.71,0.605,0.567,0.551,0.639,0.71,0.733
0.281,0.686,0.751,0.709,0.604,0.567,0.551,0.638,0.709,0.733
0.275,0.685,0.751,0.709,0.599,0.566,0.549,0.635,0.709,0.733
0.275,0.682,0.751,0.677,0.599,0.564,0.544,0.634,0.677,0.733
0.275,0.681,0.749,0.677,0.598,0.562,0.544,0.631,0.677,0.733
0.275,0.681,0.749,0.676,0.54,0.561,0.542,0.629,0.676,0.733
0.275,0.68,0.749,0.675,0.537,0.552,0.54,0.629,0.675,0.713
0.268,0.679,0.749,0.674,0.535,0.549,0.54,0.628,0.674,0.713
0.268,0.674,0.748,0.673,0.535,0.548,0.537,0.623,0.673,0.713
0.265,0.674,0.748,0.672,0.535,0.547,0.537,0.622,0.672,0.713
0.265,0.673,0.746,0.669,0.53,0.545,0.537,0.62,0.669,0.713
0.265,0.673,0.746,0.668,0.53,0.542,0.537,0.613,0.668,0.713
0.265,0.673,0.746,0.666,0.53,0.537,0.537,0.609,0.666,0.713
0.265,0.672,0.746,0.664,0.527,0.536,0.527,0.608,0.664,0.713
0.265,0.671,0.745,0.663,0.525,0.535,0.52,0.607,0.663,0.713
0.261,0.671,0.745,0.662,0.525,0.526,0.52,0.605,0.662,0.709
0.261,0.67,0.744,0.661,0.525,0.524,0.516,0.604,0.661,0.709
0.261,0.67,0.743,0.66,0.524,0.524,0.516,0.603,0.66,0.709
0.261,0.67,0.743,0.657,0.523,0.524,0.516,0.602,0.657,0.709
0.261,0.67,0.743,0.656,0.516,0.524,0.511,0.601,0.656,0.709
0.261,0.669,0.743,0.656,0.515,0.524,0.511,0.598,0.656,0.709
0.261,0.669,0.742,0.655,0.512,0.523,0.485,0.596,0.655,0.709
0.261,0.666,0.741,0.654,0.511,0.519,0.485,0.593,0.654,0.709
0.261,0.666,0.741,0.651,0.51,0.517,0.485,0.591,0.651,0.709
0.257,0.665,0.741,0.648,0.51,0.516,0.485,0.588,0.648,0.709
