_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.987
0.985,0.985,0.985,0.985,0.984,0.979,0.985,0.985,0.985,0.987
0.984,0.984,0.984,0.984,0.983,0.978,0.984,0.984,0.984,0.987
0.983,0.983,0.983,0.983,0.982,0.971,0.983,0.982,0.983,0.986
0.982,0.982,0.982,0.982,0.981,0.97,0.982,0.981,0.982,0.979
0.981,0.981,0.981,0.981,0.979,0.969,0.981,0.98,0.981,0.979
0.98,0.98,0.981,0.981,0.978,0.968,0.977,0.979,0.981,0.979
0.979,0.979,0.98,0.98,0.977,0.967,0.976,0.978,0.98,0.979
0.978,0.979,0.98,0.979,0.976,0.966,0.976,0.976,0.979,0.979
0.975,0.978,0.979,0.978,0.974,0.965,0.974,0.975,0.978,0.979
0.974,0.977,0.979,0.977,0.973,0.964,0.973,0.974,0.977,0.979
0.972,0.976,0.978,0.976,0.972,0.962,0.973,0.973,0.976,0.976
0.971,0.975,0.977,0.975,0.969,0.961,0.971,0.972,0.975,0.976
0.97,0.974,0.976,0.975,0.966,0.96,0.97,0.971,0.975,0.975
0.969,0.973,0.975,0.974,0.965,0.959,0.967,0.97,0.974,0.971
0.968,0.972,0.975,0.973,0.962,0.957,0.966,0.969,0.973,0.971
0.967,0.971,0.974,0.972,0.961,0.956,0.966,0.968,0.972,0.971
0.966,0.97,0.973,0.969,0.96,0.953,0.965,0.967,0.969,0.971
0.965,0.969,0.97,0.966,0.958,0.947,0.963,0.966,0.966,0.965
0.962,0.968,0.969,0.965,0.957,0.945,0.96,0.965,0.965,0.965
0.961,0.967,0.968,0.964,0.956,0.944,0.957,0.964,0.964,0.965
0.958,0.966,0.968,0.964,0.955,0.942,0.956,0.962,0.964,0.965
0.957,0.965,0.968,0.963,0.954,0.94,0.954,0.961,0.963,0.965
0.952,0.964,0.968,0.962,0.948,0.939,0.953,0.96,0.962,0.965
0.951,0.963,0.967,0.961,0.947,0.938,0.951,0.959,0.961,0.963
0.95,0.962,0.966,0.96,0.946,0.937,0.948,0.958,0.96,0.96
0.949,0.958,0.966,0.96,0.944,0.936,0.948,0.957,0.96,0.953
0.947,0.957,0.966,0.953,0.941,0.935,0.946,0.956,0.953,0.953
0.946,0.956,0.966,0.952,0.94,0.934,0.946,0.955,0.952,0.953
0.945,0.955,0.964,0.952,0.938,0.931,0.945,0.953,0.952,0.953
0.944,0.954,0.964,0.949,0.937,0.93,0.936,0.952,0.949,0.952
0.943,0.953,0.963,0.948,0.936,0.929,0.935,0.951,0.948,0.952
0.942,0.953,0.963,0.947,0.935,0.928,0.934,0.95,0.947,0.951
0.938,0.952,0.962,0.947,0.934,0.926,0.934,0.949,0.947,0.947
0.937,0.951,0.961,0.942,0.933,0.924,0.933,0.948,0.942,0.946
0.934,0.95,0.96,0.942,0.932,0.923,0.929,0.945,0.942,0.943
0.932,0.949,0.953,0.941,0.931,0.922,0.925,0.943,0.941,0.943
0.931,0.948,0.952,0.94,0.93,0.921,0.925,0.942,0.94,0.943
0.928,0.947,0.952,0.939,0.929,0.92,0.924,0.941,0.939,0.943
0.928,0.946,0.951,0.938,0.928,0.919,0.919,0.939,0.938,0.943
0.927,0.945,0.951,0.937,0.926,0.917,0.915,0.938,0.937,0.936
0.924,0.944,0.951,0.935,0.925,0.916,0.913,0.937,0.935,0.936
0.923,0.943,0.951,0.934,0.924,0.915,0.912,0.936,0.934,0.935
0.923,0.941,0.95,0.933,0.923,0.914,0.912,0.934,0.933,0.932
0.922,0.94,0.949,0.93,0.922,0.912,0.912,0.933,0.93,0.932
