_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957
0.952,0.956,0.952,0.952,0.955,0.956,0.952,0.956,0.952,0.957
0.928,0.955,0.889,0.889,0.935,0.955,0.889,0.954,0.889,0.957
0.889,0.954,0.889,0.889,0.933,0.954,0.888,0.952,0.889,0.957
0.889,0.953,0.888,0.888,0.932,0.953,0.887,0.951,0.888,0.956
0.889,0.952,0.888,0.888,0.931,0.952,0.886,0.95,0.888,0.955
0.888,0.951,0.888,0.888,0.93,0.951,0.885,0.95,0.888,0.952
0.888,0.95,0.888,0.887,0.929,0.95,0.884,0.95,0.887,0.952
0.883,0.949,0.888,0.887,0.923,0.95,0.883,0.95,0.887,0.952
0.882,0.948,0.888,0.887,0.922,0.949,0.88,0.949,0.887,0.951
0.881,0.947,0.888,0.887,0.921,0.948,0.879,0.949,0.887,0.946
0.88,0.946,0.888,0.887,0.92,0.947,0.878,0.948,0.887,0.946
0.879,0.945,0.887,0.885,0.919,0.946,0.876,0.947,0.885,0.946
0.878,0.944,0.887,0.884,0.918,0.945,0.875,0.946,0.884,0.945
0.877,0.943,0.887,0.883,0.917,0.944,0.874,0.945,0.883,0.941
0.876,0.942,0.887,0.882,0.912,0.943,0.873,0.94,0.882,0.941
0.875,0.941,0.885,0.882,0.911,0.939,0.872,0.94,0.882,0.94
0.87,0.94,0.884,0.881,0.91,0.938,0.871,0.939,0.881,0.94
0.869,0.939,0.884,0.88,0.909,0.937,0.87,0.938,0.88,0.94
0.868,0.938,0.883,0.879,0.908,0.936,0.869,0.938,0.879,0.936
0.867,0.937,0.882,0.878,0.907,0.935,0.869,0.937,0.878,0.936
0.865,0.936,0.881,0.878,0.903,0.934,0.868,0.936,0.878,0.936
0.864,0.935,0.88,0.878,0.902,0.933,0.867,0.935,0.878,0.936
0.863,0.934,0.88,0.876,0.901,0.913,0.866,0.935,0.876,0.936
0.861,0.933,0.879,0.875,0.9,0.912,0.865,0.934,0.875,0.936
0.858,0.932,0.879,0.875,0.899,0.911,0.863,0.934,0.875,0.936
0.857,0.932,0.878,0.875,0.898,0.91,0.86,0.933,0.875,0.936
0.852,0.931,0.877,0.873,0.897,0.909,0.86,0.932,0.873,0.936
0.84,0.93,0.877,0.872,0.896,0.908,0.858,0.931,0.872,0.934
0.838,0.929,0.877,0.871,0.894,0.907,0.858,0.93,0.871,0.934
0.838,0.928,0.877,0.87,0.893,0.906,0.855,0.929,0.87,0.934
0.837,0.927,0.877,0.869,0.892,0.9,0.855,0.928,0.869,0.934
0.836,0.926,0.876,0.868,0.891,0.899,0.851,0.927,0.868,0.934
0.835,0.925,0.874,0.867,0.89,0.898,0.849,0.926,0.867,0.934
0.833,0.924,0.874,0.866,0.889,0.897,0.846,0.925,0.866,0.934
0.827,0.923,0.874,0.865,0.888,0.893,0.845,0.924,0.865,0.923
0.826,0.922,0.874,0.864,0.887,0.889,0.842,0.923,0.864,0.916
0.824,0.921,0.873,0.862,0.883,0.888,0.84,0.922,0.862,0.916
0.822,0.92,0.873,0.861,0.882,0.887,0.84,0.921,0.861,0.915
0.821,0.919,0.872,0.86,0.881,0.886,0.837,0.92,0.86,0.915
0.814,0.918,0.872,0.858,0.877,0.885,0.837,0.919,0.858,0.915
0.813,0.917,0.872,0.858,0.876,0.877,0.837,0.918,0.858,0.915
0.811,0.915,0.872,0.856,0.873,0.876,0.836,0.917,0.856,0.915
0.81,0.914,0.87,0.856,0.871,0.875,0.828,0.916,0.856,0.915
0.808,0.913,0.869,0.855,0.87,0.874,0.828,0.915,0.855,0.915
