_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849,0.849
0.848,0.848,0.849,0.849,0.848,0.848,0.835,0.849,0.849,0.849
0.846,0.848,0.849,0.849,0.847,0.847,0.834,0.849,0.849,0.849
0.845,0.847,0.849,0.849,0.842,0.846,0.825,0.849,0.849,0.849
0.844,0.846,0.849,0.849,0.841,0.846,0.823,0.848,0.849,0.849
0.843,0.844,0.849,0.849,0.84,0.839,0.817,0.847,0.849,0.849
0.842,0.843,0.849,0.849,0.838,0.838,0.816,0.846,0.849,0.849
0.84,0.84,0.849,0.849,0.837,0.837,0.815,0.845,0.849,0.849
0.838,0.84,0.849,0.849,0.835,0.832,0.812,0.845,0.849,0.849
0.836,0.839,0.849,0.849,0.831,0.832,0.81,0.844,0.849,0.849
0.835,0.838,0.849,0.848,0.829,0.826,0.806,0.843,0.848,0.849
0.833,0.837,0.848,0.847,0.826,0.822,0.804,0.842,0.847,0.849
0.833,0.836,0.847,0.846,0.825,0.821,0.803,0.841,0.846,0.849
0.832,0.834,0.847,0.845,0.824,0.817,0.792,0.84,0.845,0.849
0.831,0.833,0.847,0.845,0.823,0.817,0.792,0.839,0.845,0.849
0.83,0.832,0.846,0.844,0.821,0.804,0.784,0.838,0.844,0.849
0.828,0.831,0.845,0.843,0.819,0.803,0.783,0.837,0.843,0.849
0.828,0.83,0.845,0.842,0.816,0.799,0.783,0.836,0.842,0.849
0.827,0.829,0.844,0.841,0.813,0.798,0.781,0.835,0.841,0.849
0.827,0.827,0.844,0.84,0.812,0.797,0.781,0.834,0.84,0.849
0.826,0.826,0.844,0.84,0.809,0.794,0.78,0.833,0.84,0.849
0.822,0.825,0.843,0.839,0.807,0.793,0.778,0.831,0.839,0.849
0.821,0.824,0.842,0.838,0.806,0.791,0.778,0.83,0.838,0.849
0.82,0.823,0.842,0.837,0.805,0.79,0.778,0.828,0.837,0.849
0.818,0.821,0.841,0.836,0.804,0.789,0.775,0.827,0.836,0.849
0.816,0.82,0.841,0.835,0.803,0.789,0.774,0.826,0.835,0.849
0.815,0.818,0.84,0.834,0.802,0.788,0.774,0.824,0.834,0.849
0.814,0.817,0.837,0.834,0.802,0.788,0.774,0.82,0.834,0.849
0.812,0.817,0.837,0.834,0.8,0.787,0.773,0.818,0.834,0.849
0.811,0.816,0.837,0.831,0.799,0.785,0.773,0.817,0.831,0.849
0.808,0.815,0.837,0.83,0.793,0.784,0.762,0.816,0.83,0.849
0.807,0.814,0.836,0.83,0.79,0.783,0.76,0.814,0.83,0.849
0.802,0.814,0.835,0.829,0.79,0.782,0.756,0.813,0.829,0.849
0.781,0.813,0.834,0.829,0.788,0.781,0.756,0.812,0.829,0.849
0.78,0.813,0.833,0.828,0.787,0.78,0.754,0.811,0.828,0.849
0.779,0.811,0.833,0.828,0.786,0.779,0.752,0.81,0.828,0.849
0.778,0.81,0.832,0.827,0.785,0.776,0.749,0.809,0.827,0.849
0.777,0.81,0.832,0.826,0.775,0.775,0.746,0.808,0.826,0.849
0.775,0.81,0.832,0.825,0.774,0.774,0.745,0.807,0.825,0.849
0.764,0.808,0.832,0.825,0.774,0.773,0.743,0.806,0.825,0.849
0.761,0.807,0.832,0.825,0.774,0.769,0.743,0.805,0.825,0.849
0.76,0.806,0.832,0.824,0.773,0.767,0.739,0.804,0.824,0.849
0.759,0.806,0.831,0.823,0.771,0.766,0.738,0.802,0.823,0.849
0.758,0.805,0.83,0.823,0.77,0.765,0.734,0.799,0.823,0.849
0.758,0.804,0.83,0.823,0.768,0.757,0.734,0.798,0.823,0.848
0.757,0.804,0.83,0.821,0.766,0.756,0.733,0.797,0.821,0.848
0.751,0.803,0.83,0.82,0.765,0.754,0.732,0.794,0.82,0.848
0.75,0.802,0.829,0.819,0.764,0.754,0.73,0.792,0.819,0.848
0.749,0.801,0.829,0.818,0.763,0.753,0.727,0.791,0.818,0.847
0.746,0.8,0.829,0.818,0.762,0.752,0.711,0.79,0.818,0.844
0.744,0.799,0.829,0.817,0.76,0.752,0.711,0.789,0.817,0.844
0.738,0.798,0.829,0.816,0.759,0.75,0.711,0.787,0.816,0.844
0.736,0.798,0.828,0.816,0.757,0.747,0.71,0.785,0.816,0.844
0.735,0.797,0.827,0.816,0.756,0.745,0.708,0.783,0.816,0.844
