_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861
0.861,0.86,0.86,0.86,0.861,0.86,0.86,0.86,0.86,0.861
0.86,0.859,0.857,0.857,0.858,0.858,0.859,0.86,0.857,0.861
0.859,0.858,0.857,0.857,0.858,0.858,0.858,0.86,0.857,0.861
0.858,0.857,0.857,0.857,0.858,0.858,0.857,0.86,0.857,0.861
0.857,0.856,0.856,0.856,0.858,0.858,0.856,0.86,0.856,0.861
0.856,0.855,0.856,0.856,0.858,0.857,0.854,0.86,0.856,0.861
0.855,0.854,0.855,0.855,0.858,0.856,0.853,0.86,0.855,0.861
0.854,0.853,0.855,0.855,0.858,0.855,0.852,0.86,0.855,0.861
0.853,0.852,0.855,0.855,0.857,0.854,0.849,0.86,0.855,0.861
0.852,0.851,0.855,0.854,0.856,0.853,0.848,0.86,0.854,0.861
0.851,0.849,0.855,0.854,0.854,0.852,0.846,0.86,0.854,0.861
0.85,0.848,0.855,0.854,0.853,0.851,0.846,0.86,0.854,0.861
0.849,0.847,0.855,0.853,0.852,0.85,0.843,0.86,0.853,0.861
0.848,0.846,0.855,0.853,0.85,0.849,0.84,0.86,0.853,0.861
0.84,0.846,0.854,0.852,0.849,0.848,0.838,0.86,0.852,0.861
0.839,0.843,0.854,0.851,0.848,0.847,0.837,0.86,0.851,0.861
0.838,0.842,0.853,0.851,0.847,0.846,0.836,0.86,0.851,0.861
0.837,0.841,0.853,0.851,0.844,0.845,0.831,0.859,0.851,0.861
0.836,0.84,0.853,0.85,0.842,0.844,0.831,0.858,0.85,0.861
0.835,0.839,0.853,0.85,0.841,0.839,0.83,0.858,0.85,0.861
0.834,0.838,0.853,0.849,0.839,0.838,0.828,0.857,0.849,0.861
0.833,0.837,0.852,0.848,0.839,0.837,0.827,0.855,0.848,0.861
0.832,0.836,0.851,0.848,0.838,0.836,0.826,0.854,0.848,0.861
0.831,0.835,0.851,0.848,0.838,0.836,0.825,0.853,0.848,0.861
