_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387
0.387,0.386,0.387,0.387,0.376,0.376,0.386,0.387,0.387,0.387
0.386,0.386,0.387,0.387,0.375,0.375,0.385,0.387,0.387,0.387
0.353,0.384,0.387,0.387,0.374,0.374,0.354,0.387,0.387,0.387
0.327,0.38,0.387,0.387,0.373,0.372,0.351,0.387,0.387,0.387
0.325,0.378,0.386,0.386,0.372,0.371,0.313,0.387,0.386,0.387
0.305,0.378,0.386,0.386,0.371,0.37,0.313,0.387,0.386,0.387
0.305,0.378,0.386,0.386,0.361,0.369,0.278,0.385,0.386,0.387
0.27,0.378,0.385,0.385,0.36,0.368,0.278,0.385,0.385,0.387
0.268,0.378,0.385,0.385,0.359,0.368,0.278,0.385,0.385,0.387
0.21,0.378,0.385,0.385,0.359,0.367,0.266,0.385,0.385,0.387
0.21,0.378,0.385,0.385,0.357,0.366,0.237,0.381,0.385,0.387
0.141,0.377,0.385,0.383,0.356,0.366,0.237,0.381,0.383,0.387
0.108,0.377,0.385,0.378,0.354,0.365,0.237,0.381,0.378,0.387
0.099,0.377,0.385,0.378,0.354,0.364,0.237,0.38,0.378,0.387
0.096,0.376,0.383,0.378,0.353,0.364,0.237,0.38,0.378,0.387
0.096,0.376,0.378,0.378,0.353,0.363,0.237,0.38,0.378,0.387
0.096,0.376,0.378,0.377,0.353,0.363,0.237,0.38,0.377,0.387
0.096,0.375,0.378,0.377,0.353,0.362,0.231,0.38,0.377,0.387
0.096,0.375,0.378,0.377,0.353,0.361,0.231,0.378,0.377,0.387
0.078,0.374,0.378,0.377,0.353,0.36,0.231,0.378,0.377,0.387
0.078,0.374,0.377,0.376,0.353,0.36,0.231,0.378,0.376,0.387
0.078,0.369,0.377,0.375,0.353,0.36,0.231,0.376,0.375,0.387
0.078,0.367,0.377,0.375,0.352,0.36,0.231,0.376,0.375,0.387
0.057,0.367,0.377,0.375,0.352,0.357,0.231,0.376,0.375,0.387
0.05,0.366,0.377,0.375,0.351,0.357,0.221,0.375,0.375,0.387
0.05,0.366,0.377,0.375,0.351,0.356,0.221,0.372,0.375,0.387
0.05,0.366,0.376,0.375,0.35,0.355,0.179,0.371,0.375,0.387
0.027,0.365,0.375,0.375,0.35,0.354,0.179,0.371,0.375,0.387
0.027,0.365,0.375,0.374,0.35,0.353,0.179,0.37,0.374,0.387
0.027,0.364,0.375,0.373,0.35,0.352,0.179,0.366,0.373,0.387
0.004,0.364,0.375,0.371,0.348,0.351,0.179,0.366,0.371,0.387
0.004,0.364,0.375,0.368,0.348,0.351,0.179,0.366,0.368,0.387
0.004,0.364,0.375,0.368,0.348,0.35,0.173,0.366,0.368,0.387
0.004,0.354,0.373,0.368,0.348,0.348,0.127,0.366,0.368,0.387
0.004,0.354,0.372,0.367,0.348,0.343,0.127,0.365,0.367,0.387
0.004,0.353,0.371,0.367,0.345,0.343,0.127,0.365,0.367,0.387
0.004,0.353,0.371,0.367,0.345,0.343,0.12,0.365,0.367,0.387
0.004,0.353,0.371,0.366,0.345,0.343,0.104,0.364,0.366,0.387
0.004,0.353,0.368,0.366,0.345,0.341,0.104,0.363,0.366,0.387
0.004,0.353,0.367,0.365,0.345,0.338,0.096,0.362,0.365,0.387
0.004,0.353,0.367,0.364,0.343,0.337,0.096,0.362,0.364,0.387
0.004,0.352,0.367,0.364,0.343,0.331,0.041,0.36,0.364,0.387
0.004,0.352,0.367,0.364,0.343,0.331,0.041,0.36,0.364,0.387
0.004,0.351,0.367,0.363,0.343,0.331,0.041,0.36,0.363,0.387
0.004,0.351,0.367,0.362,0.341,0.329,0.041,0.36,0.362,0.387
0.003,0.351,0.367,0.36,0.341,0.326,0.041,0.36,0.36,0.387
0.003,0.351,0.367,0.36,0.341,0.325,0.041,0.357,0.36,0.387
0.003,0.351,0.367,0.36,0.34,0.325,0.041,0.357,0.36,0.387
0.003,0.35,0.366,0.36,0.338,0.324,0.041,0.354,0.36,0.387
0.003,0.35,0.366,0.349,0.337,0.324,0.041,0.353,0.349,0.387
0.003,0.35,0.365,0.339,0.337,0.324,0.041,0.349,0.339,0.387
0.003,0.341,0.365,0.338,0.337,0.308,0.041,0.349,0.338,0.387
0.003,0.341,0.365,0.337,0.336,0.306,0.041,0.349,0.337,0.387
0.003,0.339,0.364,0.337,0.334,0.305,0.041,0.347,0.337,0.387
0.003,0.339,0.364,0.337,0.334,0.302,0.041,0.338,0.337,0.387
0.003,0.339,0.364,0.335,0.334,0.302,0.041,0.336,0.335,0.387
0.003,0.339,0.364,0.333,0.334,0.3,0.041,0.336,0.333,0.387
0.003,0.339,0.364,0.332,0.333,0.3,0.041,0.336,0.332,0.387
0.003,0.333,0.364,0.332,0.333,0.3,0.041,0.336,0.332,0.387
0.003,0.333,0.364,0.33,0.333,0.3,0.041,0.33,0.33,0.387
0.003,0.333,0.364,0.33,0.333,0.3,0.041,0.33,0.33,0.387
0.003,0.331,0.363,0.33,0.333,0.3,0.041,0.33,0.33,0.387
0.003,0.327,0.363,0.328,0.333,0.298,0.041,0.328,0.328,0.387
0.003,0.327,0.363,0.326,0.333,0.298,0.041,0.296,0.326,0.387
0.003,0.326,0.363,0.326,0.332,0.298,0.041,0.296,0.326,0.387
0.003,0.322,0.363,0.312,0.332,0.298,0.041,0.296,0.312,0.387
0.002,0.322,0.363,0.312,0.332,0.298,0.041,0.295,0.312,0.387
0.002,0.322,0.363,0.311,0.323,0.297,0.041,0.295,0.311,0.387
0.001,0.32,0.363,0.306,0.323,0.29,0.041,0.295,0.306,0.387
0.001,0.32,0.363,0.306,0.323,0.284,0.041,0.291,0.306,0.387
0.001,0.32,0.363,0.305,0.323,0.284,0.041,0.288,0.305,0.387
0.001,0.32,0.363,0.303,0.321,0.284,0.041,0.288,0.303,0.387
0.001,0.32,0.363,0.303,0.32,0.284,0.041,0.288,0.303,0.387
0.001,0.32,0.363,0.303,0.32,0.283,0.041,0.286,0.303,0.387
0.001,0.32,0.363,0.303,0.32,0.282,0.041,0.284,0.303,0.387
0.001,0.319,0.363,0.302,0.317,0.282,0.041,0.277,0.302,0.387
0.001,0.319,0.363,0.3,0.317,0.247,0.041,0.276,0.3,0.387
