_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764,0.764
0.76,0.763,0.764,0.764,0.763,0.764,0.751,0.764,0.764,0.764
0.759,0.762,0.764,0.764,0.762,0.763,0.737,0.764,0.764,0.764
0.745,0.762,0.764,0.764,0.761,0.762,0.737,0.763,0.764,0.764
0.742,0.761,0.764,0.764,0.758,0.761,0.737,0.763,0.764,0.764
0.741,0.752,0.764,0.764,0.758,0.76,0.737,0.762,0.764,0.764
0.74,0.75,0.764,0.764,0.755,0.759,0.728,0.762,0.764,0.764
0.739,0.75,0.763,0.763,0.754,0.758,0.719,0.762,0.763,0.764
0.732,0.749,0.763,0.763,0.752,0.757,0.71,0.761,0.763,0.764
0.731,0.749,0.762,0.762,0.751,0.756,0.71,0.76,0.762,0.764
0.728,0.748,0.762,0.762,0.746,0.755,0.699,0.759,0.762,0.764
0.727,0.748,0.762,0.762,0.745,0.754,0.699,0.758,0.762,0.764
0.725,0.739,0.762,0.762,0.744,0.753,0.689,0.757,0.762,0.764
0.724,0.738,0.762,0.762,0.741,0.752,0.684,0.755,0.762,0.764
0.713,0.737,0.762,0.761,0.74,0.748,0.679,0.754,0.761,0.764
0.712,0.737,0.762,0.761,0.737,0.748,0.679,0.751,0.761,0.764
0.711,0.736,0.762,0.761,0.734,0.747,0.664,0.75,0.761,0.764
0.702,0.736,0.761,0.759,0.734,0.746,0.664,0.749,0.759,0.764
0.699,0.734,0.761,0.757,0.734,0.745,0.664,0.748,0.757,0.764
0.698,0.733,0.761,0.756,0.734,0.744,0.663,0.747,0.756,0.764
0.696,0.732,0.759,0.756,0.733,0.743,0.655,0.746,0.756,0.764
0.693,0.731,0.758,0.756,0.73,0.743,0.646,0.745,0.756,0.764
0.689,0.728,0.758,0.754,0.726,0.742,0.646,0.743,0.754,0.764
0.677,0.728,0.756,0.753,0.725,0.741,0.639,0.741,0.753,0.764
0.675,0.727,0.756,0.752,0.724,0.74,0.639,0.738,0.752,0.764
0.673,0.727,0.756,0.751,0.722,0.738,0.639,0.737,0.751,0.764
0.663,0.726,0.756,0.751,0.719,0.738,0.639,0.734,0.751,0.764
0.662,0.726,0.756,0.75,0.714,0.737,0.638,0.73,0.75,0.764
0.646,0.726,0.756,0.75,0.714,0.736,0.632,0.729,0.75,0.764
0.639,0.726,0.756,0.75,0.714,0.735,0.632,0.727,0.75,0.764
0.636,0.725,0.756,0.75,0.714,0.734,0.63,0.726,0.75,0.764
0.635,0.725,0.756,0.749,0.701,0.733,0.629,0.719,0.749,0.764
0.633,0.724,0.756,0.749,0.697,0.733,0.62,0.718,0.749,0.764
0.633,0.722,0.756,0.748,0.696,0.732,0.62,0.716,0.748,0.764
0.614,0.722,0.756,0.748,0.695,0.73,0.615,0.71,0.748,0.764
0.613,0.721,0.756,0.748,0.693,0.725,0.608,0.709,0.748,0.764
0.61,0.721,0.756,0.747,0.692,0.721,0.602,0.708,0.747,0.764
0.608,0.72,0.754,0.747,0.692,0.72,0.602,0.703,0.747,0.764
0.602,0.719,0.754,0.745,0.687,0.719,0.593,0.701,0.745,0.764
0.597,0.719,0.754,0.744,0.685,0.717,0.593,0.699,0.744,0.764
0.595,0.717,0.754,0.744,0.684,0.715,0.588,0.698,0.744,0.764
0.593,0.717,0.754,0.744,0.683,0.71,0.588,0.697,0.744,0.764
0.589,0.716,0.754,0.743,0.681,0.706,0.582,0.696,0.743,0.764
0.581,0.714,0.754,0.743,0.677,0.706,0.572,0.695,0.743,0.764
0.574,0.711,0.754,0.741,0.676,0.695,0.559,0.694,0.741,0.763
0.551,0.71,0.754,0.741,0.672,0.694,0.559,0.691,0.741,0.763
0.549,0.709,0.754,0.74,0.672,0.685,0.553,0.69,0.74,0.763
0.547,0.709,0.753,0.739,0.672,0.677,0.553,0.688,0.739,0.76
0.547,0.708,0.752,0.738,0.671,0.677,0.553,0.687,0.738,0.76
0.541,0.707,0.751,0.737,0.668,0.677,0.553,0.685,0.737,0.76
0.54,0.707,0.751,0.737,0.661,0.676,0.538,0.68,0.737,0.76
0.537,0.706,0.751,0.737,0.659,0.673,0.538,0.678,0.737,0.76
0.526,0.705,0.75,0.736,0.646,0.673,0.538,0.678,0.736,0.76
0.522,0.705,0.75,0.735,0.646,0.672,0.535,0.677,0.735,0.76
0.517,0.703,0.75,0.734,0.645,0.669,0.521,0.676,0.734,0.76
0.516,0.702,0.75,0.733,0.644,0.666,0.521,0.674,0.733,0.76
0.512,0.7,0.749,0.732,0.643,0.665,0.516,0.673,0.732,0.76
0.506,0.7,0.749,0.731,0.641,0.663,0.516,0.672,0.731,0.76
0.502,0.699,0.749,0.73,0.639,0.663,0.516,0.665,0.73,0.76
0.493,0.698,0.749,0.73,0.634,0.663,0.516,0.664,0.73,0.76
0.493,0.697,0.749,0.73,0.632,0.662,0.516,0.655,0.73,0.758
0.489,0.696,0.749,0.73,0.626,0.658,0.516,0.654,0.73,0.758
0.489,0.694,0.749,0.73,0.625,0.658,0.516,0.653,0.73,0.758
0.486,0.693,0.749,0.73,0.624,0.655,0.508,0.652,0.73,0.758
0.485,0.692,0.749,0.729,0.621,0.655,0.508,0.646,0.729,0.758
