_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934,0.934
0.933,0.933,0.933,0.933,0.933,0.933,0.929,0.933,0.933
0.932,0.932,0.932,0.932,0.933,0.932,0.929,0.932,0.932
0.931,0.931,0.931,0.931,0.931,0.931,0.923,0.931,0.931
0.93,0.93,0.93,0.93,0.93,0.93,0.912,0.93,0.93
0.929,0.929,0.929,0.929,0.929,0.929,0.912,0.929,0.929
0.928,0.928,0.928,0.928,0.928,0.928,0.9,0.928,0.928
0.927,0.927,0.927,0.927,0.927,0.927,0.9,0.927,0.927
0.926,0.926,0.926,0.926,0.926,0.926,0.9,0.926,0.926
0.925,0.925,0.925,0.925,0.925,0.925,0.9,0.925,0.925
0.924,0.924,0.924,0.924,0.925,0.924,0.9,0.924,0.924
0.923,0.923,0.923,0.923,0.924,0.923,0.9,0.923,0.923
0.922,0.922,0.922,0.922,0.923,0.922,0.9,0.923,0.922
0.921,0.92,0.921,0.921,0.922,0.921,0.9,0.922,0.921
0.92,0.919,0.92,0.92,0.921,0.92,0.9,0.921,0.92
0.919,0.918,0.919,0.919,0.92,0.919,0.877,0.92,0.919
0.918,0.917,0.918,0.918,0.92,0.918,0.877,0.919,0.918
0.917,0.916,0.917,0.917,0.919,0.917,0.877,0.917,0.917
0.916,0.915,0.916,0.916,0.918,0.916,0.877,0.916,0.916
0.915,0.914,0.915,0.915,0.917,0.915,0.877,0.915,0.915
0.914,0.913,0.914,0.914,0.916,0.914,0.877,0.914,0.914
0.913,0.912,0.913,0.913,0.915,0.913,0.877,0.913,0.913
0.912,0.911,0.912,0.912,0.914,0.912,0.877,0.912,0.912
0.911,0.907,0.911,0.911,0.913,0.911,0.877,0.912,0.911
0.91,0.906,0.91,0.91,0.912,0.91,0.877,0.911,0.91
0.909,0.905,0.909,0.909,0.911,0.909,0.877,0.911,0.909
0.908,0.904,0.908,0.908,0.91,0.908,0.877,0.91,0.908
0.907,0.903,0.907,0.907,0.909,0.907,0.877,0.909,0.907
0.906,0.902,0.906,0.906,0.908,0.906,0.875,0.908,0.906
